01. Ano,02. Nome Região (Portugal),03. Âmbito Geográfico,04. Filtro 1,05. Filtro 2,06. Filtro 3,07. Escala,08. Símbolo,09. Valor
2011,Câmara de Lobos,Município,T0 ou T1,,,,,2
2011,Câmara de Lobos,Município,T2,,,,,4
2011,Câmara de Lobos,Município,T3,,,,,44
2011,Câmara de Lobos,Município,T4 ou mais,,,,,3
2011,Câmara de Lobos,Município,Total,,,,,53
2011,Caminha,Município,T0 ou T1,,,,,6
2011,Caminha,Município,T2,,,,,22
2011,Caminha,Município,T3,,,,,45
2011,Caminha,Município,T4 ou mais,,,,,3
2011,Caminha,Município,Total,,,,,76
2011,Campo Maior,Município,T0 ou T1,,,,,0
2011,Campo Maior,Município,T2,,,,,7
2011,Campo Maior,Município,T3,,,,,12
2011,Campo Maior,Município,T4 ou mais,,,,,4
2011,Campo Maior,Município,Total,,,,,23
2011,Cantanhede,Município,T0 ou T1,,,,,13
2011,Cantanhede,Município,T2,,,,,21
2011,Cantanhede,Município,T3,,,,,56
2011,Cantanhede,Município,T4 ou mais,,,,,34
2011,Cantanhede,Município,Total,,,,,124
2011,Carrazeda de Ansiães,Município,T0 ou T1,,,,,0
2011,Carrazeda de Ansiães,Município,T2,,,,,2
2011,Carrazeda de Ansiães,Município,T3,,,,,7
2011,Carrazeda de Ansiães,Município,T4 ou mais,,,,,4
2011,Carrazeda de Ansiães,Município,Total,,,,,13
2011,Carregal do Sal,Município,T0 ou T1,,,,,1
2011,Carregal do Sal,Município,T2,,,,,4
2011,Carregal do Sal,Município,T3,,,,,11
2011,Carregal do Sal,Município,T4 ou mais,,,,,7
2011,Carregal do Sal,Município,Total,,,,,23
2011,Cartaxo,Município,T0 ou T1,,,,,2
2011,Cartaxo,Município,T2,,,,,7
2011,Cartaxo,Município,T3,,,,,25
2011,Cartaxo,Município,T4 ou mais,,,,,19
2011,Cartaxo,Município,Total,,,,,53
2011,Cascais,Município,T0 ou T1,,,,,10
2011,Cascais,Município,T2,,,,,91
2011,Cascais,Município,T3,,,,,145
2011,Cascais,Município,T4 ou mais,,,,,94
2011,Cascais,Município,Total,,,,,340
2011,Castanheira de Pêra,Município,T0 ou T1,,,,,2
2011,Castanheira de Pêra,Município,T2,,,,,3
2011,Castanheira de Pêra,Município,T3,,,,,3
2011,Castanheira de Pêra,Município,T4 ou mais,,,,,3
2011,Castanheira de Pêra,Município,Total,,,,,11
2011,Castelo Branco,Município,T0 ou T1,,,,,2
2011,Castelo Branco,Município,T2,,,,,38
2011,Castelo Branco,Município,T3,,,,,38
2011,Castelo Branco,Município,T4 ou mais,,,,,63
2011,Castelo Branco,Município,Total,,,,,141
2011,Castelo de Paiva,Município,T0 ou T1,,,,,0
2011,Castelo de Paiva,Município,T2,,,,,5
2011,Castelo de Paiva,Município,T3,,,,,32
2011,Castelo de Paiva,Município,T4 ou mais,,,,,7
2011,Castelo de Paiva,Município,Total,,,,,44
